"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Forma de Vinculación","Tipo de Vinculación","latitud-longitud"
"305.522",,"0","0","0","68780","SURATA","SANTANDER","PROVINCIA DE SOTO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-72.98779966 7.475402063)"
"305.523",,"1.998","0","0","68773","SUCRE","SANTANDER","PROVINCIA DE VELEZ","COACCIÓN","GUERRILLA","ELN","0","1","0","0","0","1","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-73.95936235 5.983203734)"
"305.524",,"2.003","7","23","68773","SUCRE","SANTANDER","PROVINCIA DE VELEZ","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.95936235 5.983203734)"
"305.525",,"0","0","0","68773","SUCRE","SANTANDER","PROVINCIA DE VELEZ","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.95936235 5.983203734)"
"305.526",,"1.997","6","9","68773","SUCRE","SANTANDER","PROVINCIA DE VELEZ","DESCONOCIDA","GUERRILLA","NO IDENTIFICADA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.95936235 5.983203734)"
"305.527",,"0","0","0","68773","SUCRE","SANTANDER","PROVINCIA DE VELEZ","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.95936235 5.983203734)"
"305.528",,"2.003","10","9","68755","SOCORRO","SANTANDER","PROVINCIA COMUNERA","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.24436001 6.462088241)"
"305.529",,"0","0","0","68755","SOCORRO","SANTANDER","PROVINCIA COMUNERA","DESCONOCIDA","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.24436001 6.462088241)"
"305.530",,"0","0","0","68755","SOCORRO","SANTANDER","PROVINCIA COMUNERA","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.24436001 6.462088241)"
"305.531",,"2.003","6","19","68745","SIMACOTA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.45910992 6.494231551)"
